room 2 2020-11-22 13:43:43.856
                BSSID  RSSI
room 2 2020-11-22 13:52:45.191
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -45
1 04:bd:88:76:f9:e0 -47
2 04:bd:88:76:f9:e1 -47
3 04:bd:88:76:f9:f0 -52
4 04:bd:88:76:f9:f1 -52
5 04:bd:88:76:f9:f2 -52
6 04:bd:88:76:f5:82 -74
7 98:e7:f4:45:9b:4a -75
8 04:bd:88:76:f5:80 -76
9 04:bd:88:76:f5:81 -77
10 04:bd:88:76:f4:21 -78
11 04:bd:88:76:f4:20 -79
12 70:8b:cd:5e:4f:f0 -83
13 04:bd:88:76:f6:80 -84
14 04:bd:88:76:f4:30 -86
15 04:bd:88:76:f4:31 -86
16 04:bd:88:76:f6:81 -86
17 04:bd:88:76:f4:32 -87
18 84:d4:7e:4a:92:82 -87
19 12:d0:7a:c5:05:b5 -88
20 04:bd:88:76:f6:82 -88

room 2 2020-11-22 13:53:15.310
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -45
1 04:bd:88:76:f9:e0 -46
2 04:bd:88:76:f9:e1 -46
3 04:bd:88:76:f9:f0 -52
4 04:bd:88:76:f9:f1 -52
5 04:bd:88:76:f9:f2 -52
6 04:bd:88:76:f5:82 -76
7 70:8b:cd:5e:4f:f0 -76
8 04:bd:88:76:f4:21 -78
9 04:bd:88:76:f5:81 -78
10 04:bd:88:76:f4:20 -79
11 04:bd:88:76:f5:80 -79
12 04:bd:88:76:f4:22 -80
13 98:e7:f4:45:9b:4a -82
14 18:64:72:29:09:c1 -84
15 18:64:72:29:09:c0 -84
16 04:bd:88:76:f6:81 -85
17 04:bd:88:76:f4:30 -86
18 04:bd:88:76:f6:80 -86
19 18:64:72:29:09:c2 -86
20 84:d4:7e:4a:68:02 -86
21 04:bd:88:76:f4:31 -87
22 3c:84:6a:81:e0:4b -87
23 04:bd:88:76:f6:82 -90
24 04:bd:88:76:f5:91 -90

room 2 2020-11-22 13:53:45.348
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -46
1 04:bd:88:76:f9:e0 -47
2 04:bd:88:76:f9:e1 -47
3 04:bd:88:76:f9:f0 -52
4 04:bd:88:76:f9:f1 -52
5 04:bd:88:76:f9:f2 -52
6 98:e7:f4:45:9b:4a -68
7 04:bd:88:76:f5:82 -73
8 04:bd:88:76:f5:81 -75
9 04:bd:88:76:f5:80 -76
10 04:bd:88:76:f4:21 -78
11 04:bd:88:76:f4:20 -79
12 70:8b:cd:5e:4f:f0 -82
13 04:bd:88:76:f6:80 -85
14 18:64:72:29:09:c1 -85
15 84:d4:7e:4a:68:02 -85
16 62:45:b6:ce:ac:21 -86
17 04:bd:88:76:f4:30 -87
18 04:bd:88:76:f4:31 -87
19 04:bd:88:76:f4:32 -88
20 04:bd:88:76:f6:82 -90

room 2 2020-11-22 13:54:15.483
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -45
1 04:bd:88:76:f9:e0 -47
2 04:bd:88:76:f9:e1 -47
3 04:bd:88:76:f9:f0 -52
4 04:bd:88:76:f9:f1 -52
5 04:bd:88:76:f9:f2 -52
6 84:d4:7e:4a:92:82 -65
7 98:e7:f4:45:9b:4a -66
8 04:bd:88:76:f5:82 -79
9 04:bd:88:76:f4:20 -79
10 04:bd:88:76:f4:21 -79
11 04:bd:88:76:f4:22 -79
12 04:bd:88:76:f5:81 -80
13 04:bd:88:76:f5:80 -81
14 70:8b:cd:5e:4f:f0 -83
15 18:64:72:29:09:c2 -83
16 04:bd:88:76:f6:80 -84
17 62:45:b6:ce:ac:21 -84
18 84:d4:7e:4a:68:02 -85
19 04:bd:88:76:f4:31 -86
20 04:bd:88:76:f4:c0 -86
21 04:bd:88:76:f4:c1 -86
22 ea:6f:38:06:5f:16 -86
23 04:bd:88:76:f4:32 -87
24 04:bd:88:76:f6:81 -87
25 04:bd:88:76:f4:30 -88
26 04:bd:88:76:f6:82 -90

room 2 2020-11-22 13:54:45.621
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -45
1 04:bd:88:76:f9:e0 -46
2 04:bd:88:76:f9:e1 -46
3 04:bd:88:76:f9:f0 -53
4 04:bd:88:76:f9:f1 -53
5 04:bd:88:76:f9:f2 -53
6 70:8b:cd:5e:4f:f0 -58
7 18:64:72:29:09:c2 -69
8 04:bd:88:76:f5:82 -78
9 04:bd:88:76:f4:20 -78
10 04:bd:88:76:f4:21 -78
11 04:bd:88:76:f5:81 -78
12 04:bd:88:76:f5:80 -80
13 04:bd:88:76:f4:22 -80
14 18:64:72:29:09:c0 -84
15 04:bd:88:76:f6:80 -86
16 84:d4:7e:4a:68:02 -86
17 62:45:b6:ce:ac:21 -86
18 04:bd:88:76:f4:30 -87
19 04:bd:88:76:f4:31 -87
20 04:bd:88:76:f4:32 -87
21 84:d4:7e:4a:92:82 -87
22 04:bd:88:76:f4:c0 -88
23 04:bd:88:76:f4:c2 -88
24 04:bd:88:76:f4:c1 -89
25 04:bd:88:76:f7:21 -89
26 12:d0:7a:c5:05:b5 -89
27 04:bd:88:76:f7:22 -90

room 2 2020-11-22 13:55:15.696
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -45
1 04:bd:88:76:f9:e0 -46
2 04:bd:88:76:f9:e1 -46
3 04:bd:88:76:f9:f0 -52
4 04:bd:88:76:f9:f1 -52
5 04:bd:88:76:f9:f2 -53
6 04:bd:88:76:f5:82 -72
7 04:bd:88:76:f5:80 -75
8 04:bd:88:76:f4:20 -76
9 04:bd:88:76:f5:81 -76
10 62:45:b7:78:a1:82 -77
11 04:bd:88:76:f4:21 -78
12 04:bd:88:76:f4:22 -78
13 70:8b:cd:5e:4f:f0 -82
14 04:bd:88:76:f4:30 -85
15 84:d4:7e:4a:68:02 -85
16 04:bd:88:76:f4:31 -86
17 04:bd:88:76:f6:80 -86
18 18:64:72:29:09:c2 -86
19 04:bd:88:76:f6:81 -86
20 04:bd:88:76:f4:32 -87
21 84:d4:7e:4a:92:82 -87
22 04:bd:88:76:f6:82 -87
23 8e:49:62:39:84:48 -87

room 2 2020-11-22 13:55:45.744
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -45
1 04:bd:88:76:f9:e0 -46
2 04:bd:88:76:f9:e1 -46
3 04:bd:88:76:f9:f0 -53
4 04:bd:88:76:f9:f1 -53
5 04:bd:88:76:f9:f2 -53
6 70:8b:cd:5e:4f:f0 -59
7 04:bd:88:76:f5:82 -65
8 04:bd:88:76:f4:22 -75
9 04:bd:88:76:f5:80 -76
10 04:bd:88:76:f4:30 -86
11 04:bd:88:76:f4:31 -86
12 04:bd:88:76:f4:32 -86
13 8e:49:62:39:84:48 -86
14 04:bd:88:76:f6:80 -87
15 84:d4:7e:4a:68:02 -87
16 84:d4:7e:4a:68:00 -87
17 84:d4:7e:4a:68:01 -88

room 2 2020-11-22 13:56:15.874
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -44
1 04:bd:88:76:f9:e0 -46
2 04:bd:88:76:f9:e1 -46
3 04:bd:88:76:f9:f0 -53
4 04:bd:88:76:f9:f1 -53
5 04:bd:88:76:f9:f2 -53
6 04:bd:88:76:f5:82 -65
7 04:bd:88:76:f5:80 -80
8 04:bd:88:76:f5:81 -81
9 70:8b:cd:5e:4f:f0 -84
10 84:d4:7e:4a:68:02 -84
11 ea:6f:38:06:5f:16 -85
12 04:bd:88:76:f4:30 -86
13 04:bd:88:76:f4:31 -86
14 62:45:b6:ce:ac:21 -86
15 18:64:72:29:09:c2 -86
16 04:bd:88:76:f4:32 -87
17 04:bd:88:77:f2:a2 -92

room 2 2020-11-22 13:56:46.049
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -44
1 04:bd:88:76:f9:e0 -46
2 04:bd:88:76:f9:e1 -46
3 04:bd:88:76:f9:f0 -53
4 04:bd:88:76:f9:f1 -53
5 04:bd:88:76:f9:f2 -53
6 04:bd:88:76:f5:82 -76
7 04:bd:88:76:f5:80 -77
8 04:bd:88:76:f5:81 -77
9 70:8b:cd:5e:4f:f0 -78
10 04:bd:88:76:f4:20 -79
11 04:bd:88:76:f4:21 -79
12 04:bd:88:76:f4:22 -79
13 62:45:b7:78:a1:82 -81
14 18:64:72:29:09:c2 -84
15 18:64:72:29:09:c1 -84
16 04:bd:88:76:f6:81 -84
17 04:bd:88:76:f4:31 -86
18 ea:6f:38:06:5f:16 -86
19 12:d0:7a:c5:05:b5 -86
20 8e:49:62:39:84:48 -86
21 84:d4:7e:4a:68:02 -87
22 04:bd:88:76:f4:32 -87
23 04:bd:88:76:f4:30 -88
24 84:d4:7e:4a:4a:e0 -88
25 84:d4:7e:4a:4a:e1 -88
26 84:d4:7e:4a:4a:e2 -88
27 84:d4:7e:4a:68:01 -89

room 2 2020-11-22 13:57:16.059
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -44
1 04:bd:88:76:f9:e0 -45
2 04:bd:88:76:f9:e1 -45
3 04:bd:88:76:f9:f0 -53
4 04:bd:88:76:f9:f1 -53
5 04:bd:88:76:f9:f2 -53
6 04:bd:88:76:f5:82 -75
7 04:bd:88:76:f5:80 -77
8 04:bd:88:76:f5:81 -77
9 18:64:72:29:09:c2 -78
10 04:bd:88:76:f4:21 -78
11 04:bd:88:76:f4:22 -78
12 04:bd:88:76:f4:20 -79
13 62:45:b6:ce:ac:21 -85
14 8e:49:62:39:84:48 -86
15 04:bd:88:76:f4:30 -87
16 98:e7:f4:45:9b:4a -87
17 ea:6f:38:06:5f:16 -88
18 04:bd:88:76:f5:90 -88
19 04:bd:88:76:f5:91 -89
20 04:bd:88:76:f7:20 -89
21 04:bd:88:76:f7:21 -89
22 04:bd:88:77:07:22 -90

room 2 2020-11-22 13:57:46.217
                BSSID  RSSI
0 04:bd:88:76:f9:e2 -45
1 04:bd:88:76:f9:e0 -46
2 04:bd:88:76:f9:e1 -46
3 04:bd:88:76:f9:f0 -53
4 04:bd:88:76:f9:f1 -53
5 04:bd:88:76:f9:f2 -53
