room 1 2020-11-22 15:15:38.693
                BSSID  RSSI
1 04:bd:88:76:f9:f0 -55
2 04:bd:88:76:f9:f2 -55
3 04:bd:88:76:f9:e0 -57
4 04:bd:88:76:f9:e2 -58
5 04:bd:88:76:f9:e1 -58
6 04:bd:88:76:f4:20 -81
7 04:bd:88:76:f5:80 -82
8 04:bd:88:76:f5:81 -82
9 98:e7:f4:45:9b:4a -84
10 18:64:72:29:09:c0 -86
11 18:64:72:29:09:c2 -86
12 70:8b:cd:5e:4f:f0 -86
13 04:bd:88:76:f4:c0 -86
14 18:64:72:29:09:c1 -87
15 04:bd:88:76:f4:c1 -87
16 04:bd:88:76:f4:c2 -87
17 04:bd:88:76:f6:81 -87
18 04:bd:88:77:07:20 -88
19 04:bd:88:77:07:21 -89
20 84:d4:7e:4a:92:82 -90

room 1 2020-11-22 15:22:39.939
                BSSID  RSSI
0 04:bd:88:76:f9:f1 -55
1 04:bd:88:76:f9:f0 -55
2 04:bd:88:76:f9:f2 -55
3 04:bd:88:76:f9:e2 -58
4 04:bd:88:76:f9:e0 -58
5 04:bd:88:76:f9:e1 -58
6 62:45:b7:78:a1:82 -66
7 18:64:72:29:09:c2 -76
8 04:bd:88:76:f5:80 -81
9 04:bd:88:76:f5:81 -83
10 04:bd:88:76:f5:82 -83
11 12:d0:7a:c5:05:b5 -84
12 04:bd:88:76:f7:21 -84
13 70:8b:cd:5e:4f:f0 -85
14 18:64:72:29:09:c1 -86
15 04:bd:88:76:f6:80 -86
16 04:bd:88:76:f6:81 -87
17 04:bd:88:76:f6:82 -89
18 84:d4:7e:4a:4b:e2 -90

room 1 2020-11-22 15:23:09.998
                BSSID  RSSI
0 04:bd:88:76:f9:f1 -55
1 04:bd:88:76:f9:f0 -55
2 04:bd:88:76:f9:f2 -55
3 04:bd:88:76:f9:e0 -58
4 04:bd:88:76:f9:e1 -58
5 04:bd:88:76:f9:e2 -59
6 62:45:b7:78:a1:82 -66
7 04:bd:88:76:f4:22 -75
8 04:bd:88:76:f4:20 -79
9 62:45:b6:ce:ac:21 -79
10 98:e7:f4:45:9b:4a -81
11 04:bd:88:76:f5:81 -84
12 12:d0:7a:c5:05:b5 -84
13 04:bd:88:76:f7:21 -85
14 18:64:72:29:09:c0 -85
15 18:64:72:29:09:c2 -86
16 18:64:72:29:09:c1 -86
17 04:bd:88:76:f6:82 -86
18 04:bd:88:76:f6:80 -87
19 04:bd:88:77:08:22 -88

room 1 2020-11-22 15:23:39.942
                BSSID  RSSI
0 04:bd:88:76:f9:f1 -54
1 04:bd:88:76:f9:f0 -54
2 04:bd:88:76:f9:f2 -54
3 04:bd:88:76:f9:e2 -56
4 04:bd:88:76:f9:e0 -58
5 04:bd:88:76:f9:e1 -58
6 62:45:b7:78:a1:82 -66
7 18:64:72:29:09:c2 -77
8 04:bd:88:76:f4:21 -80
9 04:bd:88:76:f4:20 -81
10 98:e7:f4:45:9b:4a -83
11 18:64:72:29:09:c1 -86
12 18:64:72:29:09:c0 -87
13 70:8b:cd:5e:4f:f0 -88
14 84:d4:7e:4a:4b:e2 -89

room 1 2020-11-22 15:24:10.224
                BSSID  RSSI
0 04:bd:88:76:f9:f1 -54
1 04:bd:88:76:f9:f0 -54
2 04:bd:88:76:f9:f2 -55
3 04:bd:88:76:f9:e0 -56
4 04:bd:88:76:f9:e1 -56
5 04:bd:88:76:f9:e2 -58
6 62:45:b7:78:a1:82 -66
7 04:bd:88:76:f6:82 -77
8 62:45:b6:ce:ac:21 -79
9 04:bd:88:76:f5:82 -80
10 04:bd:88:76:f5:80 -81
11 18:64:72:29:09:c2 -82
12 04:bd:88:76:f4:20 -82
13 98:e7:f4:45:9b:4a -83
14 04:bd:88:76:f7:20 -83
15 04:bd:88:76:f4:c2 -87
16 84:d4:7e:4a:d4:a1 -88
17 84:d4:7e:4a:d4:a0 -89

room 1 2020-11-22 15:24:40.334
                BSSID  RSSI
0 04:bd:88:76:f9:f1 -55
1 04:bd:88:76:f9:f0 -55
2 04:bd:88:76:f9:f2 -55
3 04:bd:88:76:f9:e0 -56
4 04:bd:88:76:f9:e1 -56
5 04:bd:88:76:f9:e2 -59
6 62:45:b7:78:a1:82 -66
7 62:45:b6:ce:ac:21 -79
8 04:bd:88:76:f4:20 -80
9 04:bd:88:76:f4:21 -80
10 04:bd:88:76:f5:81 -82
11 98:e7:f4:45:9b:4a -83
12 04:bd:88:76:f5:82 -83
13 04:bd:88:76:f7:21 -83
14 04:bd:88:76:f7:22 -83
15 04:bd:88:76:f7:20 -85
16 12:d0:7a:c5:05:b5 -85
17 04:bd:88:76:f4:c0 -86
18 04:bd:88:76:f4:c1 -86
19 18:64:72:29:09:c2 -87
20 04:bd:88:76:f4:c2 -87
21 04:bd:88:76:f6:82 -87
22 18:64:72:29:09:c1 -87
23 04:bd:88:76:f6:81 -87
24 04:bd:88:76:f6:80 -88
25 04:bd:88:77:08:22 -88

room 1 2020-11-22 15:25:10.279
                BSSID  RSSI
0 04:bd:88:76:f9:e0 -54
1 04:bd:88:76:f9:e1 -54
2 04:bd:88:76:f9:f1 -57
3 04:bd:88:76:f9:f0 -57
4 04:bd:88:76:f9:f2 -57
5 04:bd:88:76:f9:e2 -58
6 62:45:b7:78:a1:82 -65
7 62:45:b6:ce:ac:21 -78
8 04:bd:88:76:f4:21 -79
9 04:bd:88:76:f4:20 -80
10 04:bd:88:76:f4:22 -80
11 46:e4:ee:3e:83:d0 -81
12 04:bd:88:76:f5:82 -82
13 98:e7:f4:45:9b:4a -83
14 04:bd:88:76:f5:80 -83
15 04:bd:88:76:f7:20 -84
16 04:bd:88:76:f7:21 -84
17 04:bd:88:76:f6:82 -85
18 18:64:72:29:09:c1 -86
19 04:bd:88:76:f6:81 -86
20 18:64:72:29:09:c0 -86
21 70:8b:cd:5e:4f:f0 -86
22 18:64:72:29:09:c2 -87
23 04:bd:88:76:f4:c2 -87
24 84:d4:7e:4a:68:02 -87
25 04:bd:88:76:f6:80 -88

room 1 2020-11-22 15:25:40.482
                BSSID  RSSI
0 04:bd:88:76:f9:e0 -54
1 04:bd:88:76:f9:e1 -54
2 04:bd:88:76:f9:f1 -57
3 04:bd:88:76:f9:e2 -57
4 04:bd:88:76:f9:f0 -57
5 04:bd:88:76:f9:f2 -57
6 04:bd:88:76:f4:22 -72
7 04:bd:88:76:f7:22 -77
8 04:bd:88:76:f4:20 -79
9 04:bd:88:76:f4:21 -79
10 04:bd:88:76:f5:82 -82
11 04:bd:88:76:f5:80 -82
12 04:bd:88:76:f7:20 -83
13 04:bd:88:76:f5:81 -83
14 18:64:72:29:09:c2 -84
15 04:bd:88:76:f4:c0 -86
16 04:bd:88:76:f6:81 -86
17 04:bd:88:76:f4:c2 -87
18 04:bd:88:76:f6:82 -87
19 04:bd:88:77:07:22 -87
20 04:bd:88:76:f4:c1 -89
21 04:bd:88:77:07:20 -89

room 1 2020-11-22 15:26:10.522
                BSSID  RSSI
0 04:bd:88:76:f9:e0 -54
1 04:bd:88:76:f9:e1 -54
2 04:bd:88:76:f9:f1 -57
3 04:bd:88:76:f9:f0 -57
4 04:bd:88:76:f9:f2 -57
5 04:bd:88:76:f9:e2 -58
6 62:45:b7:78:a1:82 -66
7 04:bd:88:76:f4:20 -77
8 04:bd:88:76:f4:21 -79
9 04:bd:88:76:f4:22 -79
10 04:bd:88:76:f6:82 -85
11 18:64:72:29:09:c0 -86
12 18:64:72:29:09:c1 -86
13 04:bd:88:76:f4:c1 -87
14 04:bd:88:76:f4:c2 -88
15 04:bd:88:77:07:21 -88
